ID;resource_ID;equipment_ID;quantity
91000000-0000-4000-8000-000000000001;50000000-0000-4000-8000-000000000001;90000000-0000-4000-8000-000000000001;1
91000000-0000-4000-8000-000000000002;50000000-0000-4000-8000-000000000001;90000000-0000-4000-8000-000000000002;1
91000000-0000-4000-8000-000000000003;50000000-0000-4000-8000-000000000002;90000000-0000-4000-8000-000000000003;1
91000000-0000-4000-8000-000000000004;50000000-0000-4000-8000-000000000003;90000000-0000-4000-8000-000000000001;1
91000000-0000-4000-8000-000000000005;50000000-0000-4000-8000-000000000004;90000000-0000-4000-8000-000000000003;1
91000000-0000-4000-8000-000000000006;50000000-0000-4000-8000-000000000005;90000000-0000-4000-8000-000000000001;1
91000000-0000-4000-8000-000000000007;50000000-0000-4000-8000-000000000006;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001013;d5000000-0000-4000-8000-000000000101;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001023;d5000000-0000-4000-8000-000000000102;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001033;d5000000-0000-4000-8000-000000000103;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001043;d5000000-0000-4000-8000-000000000104;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001053;d5000000-0000-4000-8000-000000000105;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001063;d5000000-0000-4000-8000-000000000106;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001073;d5000000-0000-4000-8000-000000000107;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001083;d5000000-0000-4000-8000-000000000108;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001093;d5000000-0000-4000-8000-000000000109;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001103;d5000000-0000-4000-8000-000000000110;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001113;d5000000-0000-4000-8000-000000000111;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000001211;d5000000-0000-4000-8000-000000000121;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000001212;d5000000-0000-4000-8000-000000000121;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000001221;d5000000-0000-4000-8000-000000000122;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000001222;d5000000-0000-4000-8000-000000000122;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000001231;d5000000-0000-4000-8000-000000000123;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000001232;d5000000-0000-4000-8000-000000000123;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000002013;d5000000-0000-4000-8000-000000000201;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002023;d5000000-0000-4000-8000-000000000202;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002033;d5000000-0000-4000-8000-000000000203;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002043;d5000000-0000-4000-8000-000000000204;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002053;d5000000-0000-4000-8000-000000000205;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002063;d5000000-0000-4000-8000-000000000206;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002073;d5000000-0000-4000-8000-000000000207;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002083;d5000000-0000-4000-8000-000000000208;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002093;d5000000-0000-4000-8000-000000000209;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002103;d5000000-0000-4000-8000-000000000210;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002113;d5000000-0000-4000-8000-000000000211;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000002211;d5000000-0000-4000-8000-000000000221;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000002212;d5000000-0000-4000-8000-000000000221;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000002221;d5000000-0000-4000-8000-000000000222;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000002222;d5000000-0000-4000-8000-000000000222;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000002231;d5000000-0000-4000-8000-000000000223;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000002232;d5000000-0000-4000-8000-000000000223;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000003013;d5000000-0000-4000-8000-000000000301;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003023;d5000000-0000-4000-8000-000000000302;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003033;d5000000-0000-4000-8000-000000000303;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003043;d5000000-0000-4000-8000-000000000304;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003053;d5000000-0000-4000-8000-000000000305;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003063;d5000000-0000-4000-8000-000000000306;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003073;d5000000-0000-4000-8000-000000000307;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003083;d5000000-0000-4000-8000-000000000308;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003093;d5000000-0000-4000-8000-000000000309;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003103;d5000000-0000-4000-8000-000000000310;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003113;d5000000-0000-4000-8000-000000000311;90000000-0000-4000-8000-000000000003;1
d9100000-0000-4000-8000-000000003211;d5000000-0000-4000-8000-000000000321;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000003212;d5000000-0000-4000-8000-000000000321;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000003221;d5000000-0000-4000-8000-000000000322;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000003222;d5000000-0000-4000-8000-000000000322;90000000-0000-4000-8000-000000000002;1
d9100000-0000-4000-8000-000000003231;d5000000-0000-4000-8000-000000000323;90000000-0000-4000-8000-000000000001;1
d9100000-0000-4000-8000-000000003232;d5000000-0000-4000-8000-000000000323;90000000-0000-4000-8000-000000000002;1
